Date,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
1/1/2022,701.2125,668.4375,701.5,681.6625,656.9375,717.6,735.425,732.2625,739.1625,743.1875,751.525,773.6625,765.0375,753.5375,767.9125,752.9625,742.9,727.6625,714.4375,714.725,711.275,715.5875,733.9875,720.7625
1/2/2022,674.475,684.25,688.85,663.2625,653.2,719.9,719.0375,726.225,775.1,800.1125,806.15,786.8875,794.65,784.3,796.95,761.0125,754.975,747.7875,733.125,740.3125,736.2875,740.025,747.7875,758.1375
1/3/2022,763.025,677.0625,482.1375,695.4625,717.025,767.3375,740.3125,736.2875,762.1625,777.6875,794.075,783.725,762.7375,794.3625,789.475,765.325,742.0375,738.3,769.0625,759.575,760.725,756.125,761.0125,736.8625
1/4/2022,699.775,694.3125,698.625,698.625,749.225,744.625,732.55,764.175,781.1375,813.625,841.8,809.025,795.225,794.9375,796.375,790.9125,755.55,717.8875,731.6875,749.5125,766.475,746.925,734.275,725.9375
1/5/2022,693.1625,688.5625,681.6625,675.05,718.175,749.225,725.3625,773.6625,751.8125,715.0125,742.9,748.3625,738.0125,731.975,733.7,748.3625,762.1625,782.575,740.025,715.875,797.8125,792.925,800.6875,760.4375
1/6/2022,770.7875,741.4625,746.6375,742.6125,784.3,791.2,775.9625,731.1125,715.875,791.775,786.8875,799.5375,795.8,803.5625,789.7625,797.2375,759.2875,756.4125,737.725,790.625,786.6,775.9625,783.15,759
1/7/2022,771.9375,770.7875,726.5125,732.2625,786.6,759.575,759.8625,776.5375,794.075,801.55,805.8625,809.025,796.375,799.5375,821.3875,778.2625,786.3125,779.4125,792.0625,801.2625,788.325,797.2375,791.2,791.775
1/8/2022,770.2125,756.4125,760.15,758.7125,769.35,790.625,773.95,763.8875,816.7875,826.5625,806.725,812.7625,794.3625,796.95,786.8875,770.7875,764.175,753.5375,754.1125,786.025,788.6125,781.7125,778.55,757.85
1/9/2022,747.2125,732.8375,732.55,738.0125,738.875,738.5875,765.325,762.7375,778.55,769.925,752.9625,777.1125,761.875,780.5625,762.1625,765.9,759.8625,743.1875,779.7,777.4,806.725,790.9125,796.0875,786.3125
1/10/2022,772.8,732.55,726.8,704.375,695.75,736,720.1875,706.3875,747.2125,789.7625,800.4,814.2,811.9,823.6875,770.2125,788.325,738.3,746.35,762.45,785.45,795.5125,787.175,784.5875,782.8625
1/11/2022,720.7625,700.35,705.525,708.4,730.5375,779.125,759,737.4375,717.8875,733.4125,759.2875,823.1125,800.6875,813.625,833.75,803.275,788.325,787.4625,801.2625,809.6,791.2,804.425,798.675,765.325
1/12/2022,738.875,714.4375,722.775,705.2375,724.7875,714.725,744.625,761.875,777.975,808.7375,779.9875,810.4625,798.1,783.15,779.9875,821.675,802.7,785.1625,787.175,782.2875,779.125,772.5125,785.7375,782.8625
1/13/2022,735.1375,722.775,712.1375,696.0375,720.475,761.875,726.8,740.8875,793.2125,840.65,819.95,841.8,814.775,821.9625,903.325,864.5125,802.4125,792.925,786.025,808.7375,809.6,791.2,787.4625,777.4
1/14/2022,762.1625,717.8875,687.125,682.525,703.5125,752.1,761.875,754.975,804.425,813.625,844.3875,849.85,836.625,850.425,840.3625,823.1125,793.7875,754.1125,780.85,771.075,747.2125,753.825,772.225,771.9375
1/15/2022,714.4375,717.6,718.4625,717.3125,748.3625,754.4,751.2375,761.0125,799.5375,772.8,759,763.8875,802.7,792.35,798.9625,804.1375,795.225,771.3625,772.8,788.6125,787.4625,795.5125,782.2875,777.4
1/16/2022,761.5875,721.9125,714.15,707.825,725.9375,772.225,711.275,696.9,748.9375,786.3125,794.3625,779.7,789.7625,802.125,806.15,779.125,773.0875,765.325,766.1875,789.7625,772.8,772.225,789.7625,764.75
1/17/2022,749.8,702.65,706.1,704.0875,705.525,752.1,691.4375,714.725,746.0625,746.6375,793.5,819.375,805.8625,802.125,814.4875,784.875,777.1125,768.775,772.225,786.025,771.075,757.5625,739.1625,725.075
1/18/2022,710.7,713,706.675,697.7625,703.225,750.0875,755.55,787.4625,768.775,760.15,759.2875,761.875,779.7,834.325,834.325,824.55,792.6375,768.4875,753.825,795.5125,848.4125,780.5625,752.1,751.2375
1/19/2022,736,713.8625,708.1125,707.25,715.0125,767.05,710.4125,737.15,793.7875,764.75,785.45,780.275,840.075,834.9,847.2625,851.2875,839.2125,819.0875,806.725,809.3125,783.15,763.8875,761.875,745.775
1/20/2022,743.475,728.2375,707.25,703.5125,723.0625,767.625,755.55,797.8125,826.275,807.5875,829.725,870.2625,863.65,861.35,851.2875,838.6375,819.0875,802.4125,803.85,811.6125,794.075,784.0125,763.6,765.9
1/21/2022,756.9875,754.4,706.675,688.275,696.0375,740.8875,731.6875,748.3625,794.075,826.5625,838.0625,838.0625,817.3625,856.75,857.9,832.3125,801.8375,777.4,777.975,772.8,769.35,754.975,757.275,752.675
1/22/2022,754.1125,699.4875,687.4125,686.8375,695.75,739.45,733.7,769.35,779.7,802.4125,778.55,786.025,794.075,805.8625,806.4375,796.95,790.3375,766.7625,779.4125,783.725,776.825,776.825,738.3,716.1625
1/23/2022,700.6375,694.3125,687.7,686.55,697.475,738.5875,720.7625,721.9125,753.25,738.5875,766.7625,777.1125,786.6,800.975,778.55,769.925,773.95,777.1125,774.2375,786.3125,767.9125,771.65,758.1375,774.2375
1/24/2022,727.95,702.9375,678.7875,676.775,733.4125,745.2,721.625,739.1625,748.3625,740.025,779.9875,801.55,793.2125,798.9625,779.4125,776.825,758.425,751.8125,779.9875,786.025,773.6625,773.6625,729.1,756.7
1/25/2022,729.3875,695.4625,688.85,687.125,720.1875,743.7625,752.675,777.6875,788.325,826.275,833.4625,820.525,831.1625,863.075,859.3375,845.825,805.8625,764.4625,772.225,785.45,771.9375,778.2625,763.3125,738.5875
1/26/2022,723.0625,673.325,677.35,678.5,736,750.6625,742.6125,779.125,735.425,780.5625,824.55,837.4875,832.025,844.3875,855.6,836.3375,799.825,771.075,772.5125,779.125,780.275,766.1875,774.8125,766.1875
1/27/2022,729.9625,688.5625,669.3,668.15,728.525,754.4,744.9125,788.6125,815.35,830.0125,812.7625,832.025,832.3125,838.0625,838.925,829.725,786.6,752.675,747.2125,747.5,738.5875,741.75,758.7125,763.025
1/28/2022,734.85,693.7375,681.375,660.3875,711.275,738.875,736.2875,771.65,794.075,791.4875,820.8125,835.7625,825.125,834.6125,841.5125,830.0125,805,775.3875,768.4875,754.975,756.9875,765.0375,714.725,698.3375
1/29/2022,713.8625,671.6,659.2375,656.3625,715.3,735.7125,731.975,747.2125,784.5875,799.25,799.5375,808.7375,774.525,816.2125,830.3,832.8875,808.1625,767.625,785.1625,770.5,764.75,751.2375,738.875,754.4
1/30/2022,742.6125,704.0875,700.35,693.45,731.6875,760.15,729.3875,719.325,757.85,790.05,808.45,791.4875,784.3,775.9625,779.9875,771.075,728.525,742.9,752.675,751.2375,754.1125,766.475,740.3125,731.6875
1/31/2022,712.1375,694.6,697.475,690,711.5625,727.0875,679.3625,710.9875,743.475,773.95,794.075,788.9,792.6375,779.7,797.8125,775.1,759.2875,759.8625,764.75,780.275,788.9,782.8625,782,764.75
2/1/2022,751.2375,713.2875,708.4,696.0375,712.1375,752.1,753.25,769.925,794.65,823.975,824.2625,839.7875,823.6875,819.375,830.875,808.7375,778.8375,746.6375,768.775,799.5375,746.925,771.65,757.275,774.2375
2/2/2022,738.3,711.5625,717.3125,702.075,725.3625,755.55,740.6,753.825,740.025,828,817.65,805.575,778.55,788.0375,809.6,808.7375,802.125,743.475,783.15,781.1375,787.4625,762.7375,774.2375,785.7375
